ID Comentario,Nome do usuário,Mensagem,Ándre,Vinícius
1009026819197921_1790947687823525,Daniel Corrêa,"Engraçado que só se vê votos para o Bolsonaro   e é o único que o placa não sai do zero....
Que enquete mais forçada!!!!",,5
1009026819197921_409382939408454,Anderson Washington,"Quem não quer Bolsonaro, tá apoiando a roubalheira de partidos.",,4
1009026819197921_1871877116420081,Daniel de Souza,"26 mil votos para Bolsonaro, que lavada. Se fosse o povo de bem que escolhesse o presidente da Câmara, ele já estava eleito.",,1
1009026819197921_224154461325276,Kleber Guilhen,Marcos Mello  Julio Sanches David Guilhen se liga nessa.....página do pt e o bolsonaro arregaçando ......rachei.....😂😂😂😂......votem aí tb,,5
1009026819197921_805095466297907,Matheus Gallo,"PT coloca a família inteira do adversário na discussão, mas o próprio candidato eles não falam. ME CHAMA DE CORRUPTO, PORRA!!! #BOLSONARO",,4
1009026819197921_1767150280273016,Bruno Esteves de Barcellos,BOLSONARO NELES! DEFENSOR DE BANDIDO MERECE BALA NA CABEÇA!,,1
1009026819197921_1357005484319971,Amanda Braga,Alá o cara chamando ele de corrupto 😂😂😂 essa é nova... Conte-nos mais sobre as suas fontes jovem 😂😂😂 #Bolsonaro ❤,,5
1009026819197921_1196783900370410,Vital De Morais Santa Cruz,Bolsonaro para presidente do Brasil,,1
1009026819197921_1853564098256332,Fabio Cezar,"Quase votei no sorriso sem querer só de ver essa lavada que estamos dando no PT...
Bolsonaro, me representa",,1
1009026819197921_2294914440647459,Dani Sirio,Bolsonaro ganhando na página esquerdista kakakakakakka povo acordado choro é livre #B2018,,1
1009026819197921_164207940739716,Hugo Bastos,"Galera comemorando o Bolsonaro ter perdido...

Em.um.antro de ladrões, ele ter perdido foi a melhor lição que tivemos hoje...",,1
1009026819197921_1892795274299172,Carlos Eduardo,Jair Bolsonaro é claro mas isso é pequeno demais pra ele. ele tem que ser Presidente do Brasil,,1
1009026819197921_260524237702004,Luandson Charles,"""Minha arma são as palavras, minha bomba atômica é a verdade e a esquerda odeia isso"". Jair Bolsonaro",,4
1009026819197921_1931994400355738,Amália Angeli,"PT, obrigada por mostrar pro Brasil que BOLSONARO É NOSSA VONTADE",,1
1009026819197921_226725687731309,Henrique Nascimento,"São tão tendenciosos que colocaram o Bolsonaro no ""Grr"" com uma foto tbm tendenciosa e mesmo assim, n funciono hahahaha #Bolsonaro2018",,5
1009026819197921_244297916019224,Jose Carlos O. Santos,Ver os petralhas perdendo na própria página não tem preço 😂😂 #Bolsonaro2018,,1
1009026819197921_226712607732617,Iago Marques,"Vão se surpreender hoje, com Bolsonaro na câmara",,4
1009026819197921_1888304578094904,Breno Nascimentto,"Pela memória de Carlos Alberto Brilhante ustra, eu voto Bolsonaro.",,1
1009026819197921_1932016580353520,Ananias Nascimento,É nós temos que pedir votos para o homem que vai mudar o Brasil bolsonaro,,1
1009026819197921_1874203166182218,Aguiar de Haia,junte tudo e multiplique por 2 ainda nao da a metade dos preferncias por bolsonaro,,4
1009026819197921_1357001040987082,Fabio Cezar,"Bolsonaro, com certeza... nós o apoiamos e olha que ele nem ofereceu pão com mortadela... faço campanha gratuita mesmo.😉",,1
1009026819197921_1398000293577653,Edielson S Corrêa,"De mar à mar, de zero a mil, queremos Bolsonaro presidente do Brasil. 🎊🎈🎊🎈",,1
1009026819197921_606664126190909,Rodolpho Rocha,Sou Bolsonaro pra presidente do Brasil... vamo tirar esses ladrões (PT e PSDB) do poder!!!,,1
1009026819197921_1304957416265032,Gian Miranda,"Bolsonaro, apenas pra uma demonstração para a presidência do Brasil em 2018",,4
1009026819197921_327548534305924,Jorge Tadeu S. Gomes Gomes,"Oposição, não adianta. Bolsonaro é o único dentre outros que tem moral parlamentar.",,4
1009026819197921_210786452724345,Benício LB,Somos todos soldados do Brasil... vamos juntos com nosso capitão.. Bolsonaro 2018,,1
1009026819197921_1874164132852788,Maurício Cury,"Chupa, esquerdalha. O povo cansou..Jair Messias Bolsonaro na cabeça!",,1
1009026819197921_1590820114280378,Re Rojas,"Aqui da p comprovar a dicotomia gigantesca entre a vontade do povo e dos Deputados,  Bolsonaro mais de 7mil, Rodrigo Maia menos de 50votos",,1
1009026819197921_1596455787037238,Benício LB,Bolsonaro iremos ficar de olho em quem votou em vc... 2018 tem eleições.. Bolsonaro Presidente do Brasil... pq em 2018 quem escolhe é o POVO,,1
1009026819197921_244303169352032,Miniaturas Carros Antigos Samuel Dutra,Bolsonaro presidente  da Câmara  E presidente  do Brasil presisamos  d político com coragem  d falar a verdade,,1
1009026819197921_1047387638740834,Tiago Murilo,Bolsonaro na frente em uma página do PT? Saudações do Coronel Carlos Alberto Brilhante Ustra,,4
1009026819197921_614570275392716,Wesley Hinte,"Bolsonaro presidente hoje 
Bolsonaro presidente amanhã 
Bolsonaro presidente para sempre 
Hsuahushsuahauhsuahsuahhsuahsuhs",,1
1009026819197921_805084076299046,Luiz Phillipe,Deve ser triste né!? Não ganhar nem na página de vocês as enquentes que tenham o Bolsonaro.,,5
1009026819197921_261096254327575,Ilda Franco,Pena que não  eleger Bolsomito... As maiorias tem rabo grampeado ...Bolsonaro está com as mãos limpas ... perturba á  tropa ..,,4
1009026819197921_1009029699197633,Elaine Cristina Fernandes,"Depois dá traição que o PT fez, votando em golpista.
Eu vou agora é de Bolsonaro",,1
1009026819197921_1837548663195012,Michelle Schmitberger Sampaio,GOlpistas são vcs até em pesquisa de Facebook!!!! Cadê os votos do Bolsonaro hein!!! Bando!!,,4
1009026819197921_1888306344761394,Tiago Murilo,Lavada do Bolsonaro! Derrota do PT em casa. É melhor JAIR se acostumando.,,1
1009026819197921_1325241267536639,Zelia Ottoni,Bolsonaro viva o merecedor de tudo de bom ai neste Senado! Ele dara uma moral nesta bagunca!,,1
1009026819197921_893467947459555,Antonio Fabio,Colocaram uma foto do Bolsonaro com cara de mal só pra queimar o filme dele. VOTARIA NO BOLSONARO,,1
1009026819197921_1893922830844809,Carlos William Ferreira Pinto,"Msm colocando o Mito com cara de mau pra influenciar negativamente, não vai ter jeito. É Bolsonaro hoje e em 2018!!!!!",,1
1009026819197921_1811987659039932,João Paulo Corado,"Eles não desistem de passar vergonha, o Bolsonaro sempre ganha disparado 😂😂😂😂
#Bolsonaro2018",,1
1009026819197921_210763826059941,Ismael Martins,"Eu tenho 17 anos e em 2018 
estarei com 18 eh ja voto queridos 
#Bolsonaro2018",,1
1009026819197921_250248838734222,Irene Oliveira Costa,"Perdão! Não tinha atentado para os nomes.  Sou mulher, mais sou mais Bolsonaro.",,1
1009026819197921_1304978899596217,Kelvyn Magno,"Jair Messias Bolsonaro Mito! 
Fazendo valer a realidade na página dos próprios PTralhas! 
Huhauheuhauheauheuahue",,1
1009026819197921_1538643162817184,Néya Pedroso,"Que lindo! todos aqui votando em Bolsonaro, ou seja, todos dizendo: "" Eu quero levar ferro!""",,6
1009026819197921_261164030987464,Anderson Sapalácio,Nunca esperei tão ansioso uma eleição igual estou esperando essa pra presidente.  Bolsonaro vai da uma lavada,,1
1009026819197921_1348462355176766,Diomar Pegado,"Onde estao os votos para Bolsonaro?? Estão roubando , pois não publicam os votos de Bolsonaro!!!",,4
1009026819197921_256336318112037,Fátima Rocha,Tá difícil a escolha.Talvez o Bolsonaro.Mas todos mudam.E para pior.Deus nós livre desta turma na amostragem.,,4
1009026819197921_224574121345800,Lucia Rosario,"Bolsonaro pode nao ganhar, mas vai dizer o que pensa dos ladroes do povo!!!!",,4
1009026819197921_1210058982411854,Perpetua Aguiar Germano,"Vejam a foto que colocaram do Bolsonaro, mas com todo prazer e honra sou Bolsonaro!",,4
1009026819197921_144798722694145,Irlei Azevedo,Bolsonaro!!!!! #ADireitaVive,,4
1009026819197921_261109414326259,Jordi Llinares,hahahaha... Jair Messias Bolsonaro presidente em 2018! Choooooooooora petista!,,1
1009026819197921_226724144398130,Reginaldo Silva Ostapechem,Tem enquete com BOLSONARO??????? tô votando nele! Chupa esquerdistas vagabundos,,1
1009026819197921_1766799026972020,Yure Silva,Chance dele é mínima. Mas para presidente em 2018 somos nós quem iremos escolher! #bolsonaro,,1
1009026819197921_1246487735442211,Rafael Reis,Bolsonaro neles! Presidente da Câmara e da República Federativa do Brasil.,,1
1009026819197921_261097617660772,Antonio Dias,"Falam tanta coisa do bolsonaro, mais não vejo ninguém chamá-lo de corrupto 🤔🤔 ué",,1
1009026819197921_1359863340742846,Eliakin Lucas,"Bolsonaro, o único que devolveu dinheiro da JBS. O único honesto! Bolsonaro Presidente!",,1
1009026819197921_191560227989596,João Otávio,Bolsonaro n qer presidir a câmara n ele quer o presidir o Brasil kkk bolsonaro2018 melhor jairrrrrr se acostumando ptzada corrupta,,1
1009026819197921_1720428167982824,Anderson Costa Guedes,Que vergonha hein? Bolsonaro ganhando de lavada em pagina de esquerda? Qual o argumento?,,1
1009026819197921_458384287618725,Vitor Lima,"Já vejo a página dizendo ""Amigos, creio que houve algum erro na enquete!"" #SomosTodosBolsonaro",,1
1009026819197921_1811971102374921,Vinny Loureiro,"É melhor Jair se acostumando com nosso futuro presidente.
Jair Messias Bolsonaro!",,1
1009026819197921_224601028009776,João Gobbato,"Jean Souza, pq Bolsonaro não? Ele quer o bem da nação e de todos os brasileiros, sem nenhum tipo de ditadura.",,5
1009026819197921_1245674152193636,Júnior Feitosa,"Só pode ser o Bolsonaro. Pois se a PF baixar por lá todos os outros vão fugir, mas não o Bolsonaro!",,6
1009026819197921_394677910885434,Wilmar Raboch,"Por falta de opção melhor, Jair Bolsonaro. Nunca no Rodrigo Maia, é mais fácil eu acreditar que existe nota de R$ 3,00.",,3
1009026819197921_1931988747022970,Damiana Ferreira,"Por que colocaram a carinha de raiva no Bolsonaro?  Ele é puro amor,  pelo povo brasileiro e pela verdade 👏👏👏👏👏👏👏👏👏",,6
1009026819197921_244292452686437,Ernandes Marques Martins,Bora trabalha .Mas bolsonaro e o melhor para todos os brasileiros.Fui galera,,1
1009026819197921_261129740990893,Laion Jones,Bolsonaro um dos poucos políticos ficha limpa no congresso. Só tem projetos que beneficia o povo como todo. Futuro presidente siiim!,,1
1009026819197921_1196758310372969,Renan Farias,Eleitores informados seguem os dois lados só pra ter ainda mais certeza da escolha... #Bolsonaro2018,,1
1009026819197921_1389530541097993,Leonardo Leal,Colocaram a carinha de raiva pro bolsonaro mas mesmo assim ele ganha,,1
1009026819197921_224538471349365,Danilo Alves,"Se for pra discordar do bolsonaro com aqueles argumentos horríveis , melhor irem pra cuba la que e bom pra vocês",,4
1009026819197921_733261793492994,Florisvaldo Netto,"Bolsonaro já tá quase alcançando, daqui a pouco quando ele chegar perto dela eles encerram  a votação",,4
1009026819197921_1720354487990192,Bruno Pinheiro,"Bolsonaro!!!!!!!
Obrigado PT por nos ajudar a divulgar o nome de nosso candidato",,4
1009026819197921_256340268111642,Fábio Guimarães,"Ja imaginaram, se nos 10 minutos do Bolsonaro, ele pedisse ao povo que clamassem pela intervenção ?",,5
1009026819197921_2218152108410897,John Vertelo,Pelo fim de projetos sociais que só ajudam criar mais vagabundos.. Bolsonaro,,1
1009026819197921_224539184682627,Abraham Oliver,Marcos Amaral. Vai pesquisar e estudar mais sobre a trajetória  do Bolsonaro.,,5
1009026819197921_1888329548092407,Phablo Araujo,"Poderia mostrar a idade de quem tá votando. Assim, no Bolsonaro iria aparecer uma média de 15 anos.",,6
1009026819197921_1245736778854040,Elizabethe Andrade,"Bolsonaro pois ele coloca tudo no Bolso dele!!!!!
Bossais!!!! Deus me livre de evangélico no Poder",,6
1009026819197921_1196733747042092,Dudu Avante,Bolsonaro. E se você o acha machista ou você é uma mocréia ou você é esquerdista.,,4
1009026819197921_233791443697207,Jean Carlos,Tá passando vergonha página do PT ... Bolsonaro vai ganhar todas as pesquisa,,1
1009026819197921_226728607731017,Davi Silva,Graças a Deus pelas pessoas que dizem não ser bolsonaro! Queremos qualidade e não quantidade!,,4
1009026819197921_733298163489357,Rafaela Martins,Bolsonaro há 29 anos mamando na Câmara e NUNCA aprovou nenhum projeto!!!,,2
1009026819197921_1888320431426652,Victor Silva,Printem a vitória de Bolsonaro que daqui a pouco eles tiram a opção Bolsonaro.,,5
1009026819197921_224544804682065,Neto Amaral,"O que me mostrar bolsonaro com envolvimento em corrupção, eu mudo meu voto",,3
1009026819197921_1222942001135913,Eduardo Pereira,"Mas no meio de maioria corrupto, quem votaria no Bolsonaro né",,6
1009026819197921_577872475743775,Wálisson Lopes Pereira,"Chora mortadelas, pois segura o BOLSONARO.
Aceita que do oi menos.",,5
1009026819197921_233834853692995,Bruno Krizaj Pazzini,Ficou feio pra vcs hein ptezada! Melhor Jair se acostumando! Bolsonaro 2018 e cana na vagabundagem!,,1
1009026819197921_403850839957089,Elvio Schafranski,Bolsonaro! Certeza... Chega de grupos que vivem só de esquemas de favores e benefícios próprios...,,1
1009026819197921_1325179234209509,Lillian Xuxu,"Vamos pra cima Eundina, única que não tem acusação de corrupção. Fora Bolsonaro✊🏾👊🏾",,2
1009026819197921_1291564180905870,NL Frederico,"Bolsonaro é da base aliada de temer, não fará nenhuma diferença",,4
1009026819197921_224399484634951,Jose Henrique Caetano,"Para o bem do país Bolsonaro, mas ele  está no meio de ladrões então é bom sonhar mas tudo é possível. Bolsonaro 2018.",,1
1009026819197921_224596204676925,Kaleb Henrique,Bolsonaro só tem nome limpo pq em 25 anos de carreira não fez nada hahahahaha,,2
1009026819197921_1304966176264156,Edsom Ferreira de Souza,"Bolsonaro precisa ter mais poder para acabar com a corrupção,apoiando Janaína e Moro",,4
1009026819197921_971801999617029,Lázzaro Vila Verde,"Ganhar em casa é bom, mas ganhar fora de casa é melhor ainda 😂❤️
#Bolsonaro2018",,1
1009026819197921_244287609353588,Rodrigo Martins,"Brasil politicamente correto, seguindo as leis e os princípios da vida. Bolsonaro.",,5
1009026819197921_458406977616456,Junior Santos,"Já vão se acostumando com Bolsonaro, em 2018 tem mais.
Hoje ele não ganha, mas vai discursar.",,3
1009026819197921_1811973065708058,Daniel Fernandes Carneiro,Bolsonaro será a ultima aposta do presidencialismo. Se não derem certo . Vamos lutar para o fim desse sistema.,,5
1009026819197921_772700432877282,André Dos Santos Leandro,"Não adianta chora é Bolsonaro na cabeça , mortadelas . Erondina é minha rola rosada.",,1
1009026819197921_1745797462401863,Honório Netto,Alguém tem dúvida que se o povo escolhesse quem seria o presidente da câmara o bolsonaro não ganharia? Bolsonaro2018,,1
1009026819197921_205695606565333,Antonio Marcos Marcos,"Como assim, Bolsonaro em 1° LUGAR na própria pag do PT? é gópi, é gópi, é gópi gópigópigópigópigópigópigópigópigópi",,6
1009026819197921_604324026441776,Renato Ribeiro,Em 64 Bolsonaro tinha 7 anos então como ele e um torturado??? Opa ele te obriga a ler😂😂😉,,6
1009026819197921_900681650073933,Matheus Goulart Sci,"Olha a verdade aparecendo nas enquetes petistas, Bolsonaro neles",,1
1009026819197921_1304969002930540,Alison Ciceri,"Direcionada e Apelativa, tipo as pesquisas encomendadas, mas mesmo assim deu Bolsonaro. #Bolsonaro2018.",,1
1009026819197921_1745746892406920,Gustavo Vendemiato,Até aqui Bolsonaro ganha estourado adivinha quem vai ser presidente em 2018? Se prepara comunistas Bolsonaro chegou com tudo,,1
1009026819197921_1598883680125784,Maria Lourdes Carvalho Figueiredo,CORRUPTO...http://g1.globo.com/sao-paulo/noticia/2016/04/pgr-vai-analisar-mais-de-17-mil-denuncias-contra-jair-bolsonaro.html,,2
1009026819197921_1222951821134931,Cinara Viana Dantas,Bolsonaro ganhando de lavada em uma página de esquerda. Isso que é opressão! hahahaahahaha,,1
1009026819197921_226711134399431,Higor Matheus,Andreia você fala isso do Bolsonaro pq não pode chama ele de corrupto,,4
1009026819197921_708325142670813,Bruno Rezende,"Bolsonaro de 2018 até 2050!
2018 e 2022 Jair 2026 e 2030 Eduardo 2034 e 2038 Flávio 2042 e 2046 Carlos",,1
1009026819197921_690552431124720,Fatima Balbino,"Votarei em BOLSONARO para Presidente/2018 e votaria sim, se pudesse, para presidente dá Câmara.",,1
1009026819197921_226743971062814,Bruno Rezende,"O que dói mais na esquerda é o povo apoair Bolsonaro de graça, sem mortadela!",,1
1009026819197921_1538568679491299,Will Schvartz,"Claro que o Bolsonaro não será eleito. Ele é praticamente o único deputado decente na câmara, os corruptos morrem de medo dele.",,1
1009026819197921_210791946057129,Thiago Franco,Erundina kakakakak piadaaa!!!!! Se juntar todos não dá nem metade do nosso futuro presidente!!!! #Bolsonaro2018,,1
1009026819197921_1893960050841087,Ysaelton Bez-Batti,"Eu quero o Bolsonaro pra Presidente do Brasil, mas pode ser da Câmara também!!!",,1
1009026819197921_403857863289720,Fábio ̶Henrique,Em memória do Coronel Carlos Brilhante Ustra eu voto no BOLSONARO 2018,,1
1009026819197921_614548348728242,Jefferson Benvindo,Olhem a foto tendenciosa do Bolsonaro hahahah. Se dependesse do povo ele ganhava por W.O,,6
1009026819197921_1812009105704454,Cássio Campos,Estudos apontam que 98% das pessoas que são contra  #BolsonaroPresidenteDaCamara não sabem para que serve Câmara.,,6
1009026819197921_1196792587036208,Camila Moraes,Dói né? Ver o cara que vocês odeiam ganhando na própria página de vocês. Chora esquerda! Bolsonaro ❤❤❤❤❤,,1
1009026819197921_1790980821153545,Ana Rocha,"Só vejo dando Bolsonaro e ele aparece com ""0"" votos... bem típico...",,4
1009026819197921_805072822966838,Analisa Mora,Se ganhar Bolsonaro próximo passo é a volta da escravidão... Só vamos pra atrás!!!,,2
1009026819197921_361750847542109,Dani Sirio,"Hahahahahah quem está vendo ao vivo percebe que o Bolsonaro está disparado nos votos, aí ele apagam kakakakakkakakaka medo demais",,4
1009026819197921_1305046072922833,Jonatas Santos Silva,"Bolsonaro para presidente do STF, STJ, STE, PT, PSDB, PUC, USP, Câmara, Senado, Brasil e o Grêmio",,1
1009026819197921_388732114829735,Jobson Bronson,"O Mito ganharia em primeiro turno na própria página do PT.... hhahahahah
Bolsonaro: 77% contra os ratos.",,1
1009026819197921_1389416061109441,Wander Fernandes,"Vcs não  tem vergonha  na cara em colocar uma foto dessa do Bolsonaro; partido de corruptos, vcs roubaram a alma do Brasil safados",,4
1009026819197921_233825483693932,Ana Judith Zaiden Aragão,"Não adianta ""botar"" carinha de mal para Jair Messias Bolsonaro!!! Ele é o escolhido porque é o melhor!!!!",,1
1009026819197921_288024161612515,Roberto Silva,eu vou de bolsonaro!!!! melhor que ele só o Doria mais ele já prefeito aqui e tá bom de mais,,1
1009026819197921_1196751067040360,Filipe Tomita,Onde Jair Messias Bolsonaro está a esquerda não tem vez!!! #SOMOSTODOSBOLSONARO,,1
1009026819197921_1888307548094607,Vitor Fontolan,Nem na página do PT o Bolsonaro perde hahahahah,,6
1009026819197921_243831649395232,Bravocharlie Carvalho,Aqui no Brasil estão tentando derrubar Bolsonaro mas não vão conseguir vai ser presidente sim,,1
1009026819197921_1873851012851447,Emanuel Francisco,Por isso não acredito em pesquisas de intenção de voto. Se fizer qualquer pesquisa ao vivo na internet o Bolsonaro ganha,,6
1009026819197921_256334718112197,Nildo Boaventura,Você vê que o Brasil pode mudar quando a quadrilha perde do povo de bem em casa. #Bolsonaro2018,,1
1009026819197921_224633958006483,Illgner Geovanne,O PT não tem a força do Bolsonaro para mexer com enquetes. Mais de 22 mil para Bolsonaro.,,5
1009026819197921_1122803877818996,Jorge L P Cardoso,"BOLSONARO, mais do que certamente!!! Pena que ele só queira falar 10 minutos!!! Os deputados corruptos, não vão deixar ele se eleger!!!",,5
1009026819197921_381423882223746,Marcelo Nilles Schies,Todos sabem q Bolsonaro vai ganhar a enquete daí eles fraldam PT piada 😂😂😂,,1
1009026819197921_1325288664198566,Jobson Bronson,O único ficha limpa aí é o Bolsonaro. O resto é lixo socialista/corrupto.,,1
1009026819197921_1874164579519410,Gabriel Reds,"Se ele não aprovou projeto é pq bolsonaro tá no caminho certo, nesse governo do PT só aprovaram projetos fascistas",,1
1009026819197921_1861925277379755,Igor Antonio Figueira,"eu apoio sim Bolsonaro, quem não gostou senta e chora, ISSO É DEMOCRACIA DE TODOS",,1
1009026819197921_136300006881514,Luandson Charles,"Bolsonaro não será eleito, porque quem escolherá o presidente da câmara serão os corruptos",,2
1009026819197921_1222980124465434,Eliakin Lucas,"Diferente dos canalhas do PT, apoiamos Bolsonaro de graça, porque ele não é ladrão. Canalhas petistas!",,1
1009026819197921_1811966582375373,Jackson Geovane,Só lembrando que bolsonaro também está envolvido em esquemas de corrupção,,2
1009026819197921_805125426294911,Eliakin Lucas,"Colocaram a pior carinha é uma foto do Bolsonaro bravo. PT, bando de canalhas! Vai ter Bolsonaro sim!",,1
1009026819197921_577878932409796,Diogo Perez,"ME LEVEM DESSE PLANETA! BOLSONARO PRA PRESIDENTE? MIGO, VAI LER UM LIVRO",,2
1009026819197921_458389780951509,Carlos Silva,"Jair Bolsonaro, é não votar nesse Chileno, que é envolvido em corrupção.",,1
1009026819197921_1877634892521304,Amanda Braga,Gente essa votação vai até que hrs??? Bolsonaro vai humilhar vcs o dia inteiro? 😂😂😂😂😂,,1
1009026819197921_1767200493601328,Danilo Osculo,Eles podem manipular essa votação e lança uma manchete: as pessoas odeiam o bolsonaro... PT jogando sujo,,6
1009026819197921_805071919633595,Adv Paulo César Amaral,"Bolsonaro ganha uma enquete dentro dá página do PT, isso não tem preço",,1
1009026819197921_1874209496181585,Celia Augusta Souza,"Olha a cara de louco desse Bolsonaro!
Nossaaaaa,eu hem nem pensar.",,2
1009026819197921_606676869522968,Celia Augusta Souza,"Umas pessoas dizendo:somos todos Bolsonaro,somos uma vírgula, eu nao sou,nunca fui,e jamais serei esse crápula.",,2
1009026819197921_1196719153710218,Tiago Alves,"Bolsonaro só é forte na internet, nas urnas Flávio Bolsonaro deu vexame!",,2
1009026819197921_205756219892605,Cleber Segall,Vcs são tão canalhas que nem a foto do Bolsonaro sabem escolher. Mas estão levando uma lavada do homem!,,4
1009026819197921_1196719963710137,Paulo Silver,"Não tem pra ninguém, fora esquerdeopatas, Bolsonaro presidente do Brasil",,1
1009026819197921_1874168809518987,Leandro T. Speltz,Desafio qualquer petista a mostrar qualquer envolvimento do Bolsonaro em corrupção. Garanto não vão achar,,1
1009026819197921_1836748166580767,Adv Paulo César Amaral,"Vamos compartilhar, o PT, já acabou seus apoiadores, questão de tempo o Bolsonaro ultrapassa",,4
1009026819197921_2294938720645031,Marco Antonio Ribeiro Filho,BOLSONARO SEM DÚVIDA NENHUMA É O ÚNICO QUE NÃO ESTA PRESENTE EM LISTAS DE LADÕES,,1
1009026819197921_1811966669042031,Leandro T. Speltz,"Chamam ele de homofóbico e racista,pq não podem chama lo de corrupto#bolsonaropresidente",,1
1009026819197921_191555677990051,João Batista,O Bolsonaro só saiu candidato para ter o segundo turno isto já está combinado,,4
1009026819197921_233830440360103,Emerson Grotti,Petista falando que Bolsonaro é corrupto??? Não é réu como os líderes petistas.....e mesmo assim os cegos não enxergam !,,6
1009026819197921_396120117406430,Yosef Do Egito,"Mais de 26.400 votos para Bolsonaro!! Segundo lugar Erudina com 4.000... Nossa, pq será hein? Ahuahuahu",,4
1009026819197921_261096840994183,Gervazio Parizotto,Podem dizer o que quiserem do BOLSONARO. Mas ladrão e corrupto por enquanto não é.,,1
1009026819197921_244325442683138,Paulo Viana,"Bolsonaro sim, com carinha de raiva Grr! e tudo mais hahahahahahahhahahaha",,1
1009026819197921_1047414165404848,Fernando Dutra,Bolsonaro é um louco demagogo e um imbecil tremendo....pode parar,,2
1009026819197921_640901656111678,Gabriel Nicoleti,"Bolsonaro presidente dá câmera 
Bolsonaro presidente do Brasil
Bolsonaro Imperador 😂😂😂😂",,1
1009026819197921_1829045634018141,Maicon Aparecido Pereira,Calma aí já já o Bolsonaro passa e que os trabalhadores ainda não tiveram tempo de responder aqui,,6
1009026819197921_673929499475598,Juliano Soares Mello,Bolsonaro em voces seus jumentos petistas que apoiam a corrupção no Brasil voces deveriam ser todos exterminados!!!,,1
1009026819197921_1888389431419752,Rafhael Leone,Claro que o bolsonaro e a solução pro Brasil afinal ele tem Messias no nome,,6
1009026819197921_606659502858038,Messias Antonio Ferreira,não esqueçam de dar print na enquete. pode ser colocado como rejeição a bolsonaro.,,4
1009026819197921_577883752409314,Jobson Bronson,Esperando a fala do #PresidentedaRepública em 2018. Jair Messias Bolsonaro.,,1
1009026819197921_569322053262905,Salvia Cardoso Correia,Ele Bolsonaro e sua igreja não houve ainda tempo hábil para ele seguir o seu mentor Eduardo Cunha...,,4
