ID Comentario,Nome do usuário,Mensagem,Ándre,Vinícius
954646961360116_137830523490996,Karina Leao,Essas aí não me representam. #Bolsonaro sim👊✌,1,4
954646961360116_330828120673956,Cláudio Brum,#somostodosbolsonaro,1,4
954646961360116_954835308007948,Augusto Damasceno,#BolsonaroPresidente2018,1,4
954646961360116_954660504692095,Sonia Vieira,Vão ser alienados assim lá na terra dos Bosonaros .Tem que varrer estes Bolsonaros da Humanidade.,2,2
954646961360116_251253068716764,Eliardo Alves,Quem defende bandido e pior que eles. #Bolsonaro2018. Sua vaca...,1,1
954646961360116_109856489727913,Adeann Silva,#Bolsonaro2018 e fim dos direitos manos. Ops humanos,6,6
954646961360116_954886588002820,Giovane Christe,Bolsonaro na cadeia 2018 ..,1,2
954646961360116_955023194655826,Fred Carvalho,Bolsonaro Presidente!! 😎🔰🇧🇷,1,1
954646961360116_954658801358932,Cristiano Santos,"Eu não voto nem nessa senhora, nem em bolsonaro",2,2
954646961360116_954921497999329,Felliph Taylor,#Bolsonaro PRESIDENTE 2018,1,1
954646961360116_954657121359100,Joao Filho Barroso,Tem que prender Bolsonaro,2,2
954646961360116_1292682207510718,Kosta Junyor,Bolsonaro 2018!!!,1,1
954646961360116_954740561350756,Selma Silva,Bolsonaropresidente,1,1
954646961360116_954653844692761,Francine Ribeiro,Eu vou vota bolsonaro,1,1
954646961360116_410194712711491,Elton Albuquerque,Bolsonaro 2018. Defensora de bandidos.,1,4
954646961360116_954831961341616,Alex Batista,Meu voto é de Bolsonaro,1,1
954646961360116_357259664708443,Daniel Lira,Isso só levanta mais eleitores ao Bolsonaro...,1,1
954646961360116_1723599797944241,Leonard Souza,#BOLSONAROPRESIDENTE,1,1
954646961360116_448251988908283,Luis Mauricio Moraes,Não vai virar !!!! Bolsonaro 2018,1,1
954646961360116_333663207062006,Michel S. Vargas,#bolsonaro2018 #lulanacadeia #aecionacadeia #dilmanacadeia opressão tá só começando,1,1
954646961360116_955021627989316,Vinicius Lazarine,"Que issooooo !!!! Que que issooooooo !!! Kkkk
Bolsonaro 2018 !",1,1
954646961360116_448257428907739,Gilberto Menezes,Bolsonaro  2018 eu voto simmmmmmmm,1,1
954646961360116_954715758019903,Paulo Ferreira,Chupa bolsonaro ...,2,2
954646961360116_954665534691592,Jessica Baldin,bolsonaro esmurrado kkkkkkkkkkkkkkkkkkkkkkkkkkkk,2,2
954646961360116_954672594690886,Lavoisier Lavoisier,A esquerda está se cagando pois sabem que o Bolsonaro será o novo presidente ...,1,1
954646961360116_954665234691622,Lavoisier Lavoisier,Isso aí é pura armação do STF pois eles sabem que o Bolsonaro será o novo presidente,1,1
954646961360116_410915965971966,Elvio Canalle,Bolsonaro presidente,1,1
954646961360116_954739011350911,Wagner Coelho,Bolsonaro presidente do Brasil.,1,1
954646961360116_954857458005733,Fernando Sabino,Jair Messias Bolsonaro 2018,1,1
954646961360116_954936457997833,Nathan Braga,Vocês já viram eles se organizando amigos? https://www.vakinha.com.br/vaquinha/arrecadar-o-mesmo-valor-que-bolsonaro-tem-que-pagar-a-maria-do-r,5,5
954646961360116_109254773101865,Amauri Moraes,kkkkkkkkkk ! AS COMUNISTAS  FAZENDO PROPAGANDA DE GRAÇA PARA BOLSONARO. E A DONA MARIA DEFENDE ESTUPRADOR .,4,4
